stock_code,bias,prev_high,strategy_tag,data_date
1584,0.09568867125658105,25.05,ma_conv,2026-01-30
6179,-0.08685472181960076,28.45,bias|ma_conv,2026-01-30
4956,0.1410381978452497,23.8,ma_conv,2026-01-30
5426,-0.018527791687531346,20.05,bias|ma_conv,2026-01-30
5706,-0.010066290203781053,52.0,bias|ma_conv,2026-01-30
6156,-0.013341607198262589,21.75,bias|ma_conv,2026-01-30
3489,-0.03256252949504473,20.7,bias,2026-01-30
5489,0.058120675850458846,43.15,ma_conv,2026-01-30
6153,0.05404534221553678,16.45,ma_conv,2026-01-30
6620,0.0,83.7,ma_conv,2026-01-30
3323,-0.04934473894905384,39.0,bias|ma_conv,2026-01-30
9927,0.0,71.0,ma_conv,2026-01-30
1702,-0.021965619031081796,37.75,bias|ma_conv,2026-01-30
2316,-0.027605689646627452,98.4,bias|ma_conv,2026-01-30
2031,0.0333551340745585,40.85,ma_conv,2026-01-30
5403,-0.04110575192570735,111.5,bias|ma_conv,2026-01-30
2546,-0.022915761434265897,87.0,bias|ma_conv,2026-01-30
00856B,-0.0034107866126625486,37.4,bias|ma_conv,2026-01-30
4430,0.009912100243126942,18.0,bias|ma_conv,2026-01-30
8240,0.14196610791350422,42.55,ma_conv,2026-01-30
2421,-0.11381945878950635,150.5,bias|ma_conv,2026-01-30
4903,0.007176129925720674,43.5,bias|ma_conv,2026-01-30
00638R,0.005367764398665302,7.0,bias|ma_conv,2026-01-30
6526,-0.02901411598197329,453.0,bias|ma_conv,2026-01-30
2838,-0.022179615669527978,18.7,bias|ma_conv,2026-01-30
5388,0.05353529159256754,86.4,ma_conv,2026-01-30
00863B,-0.007529858904543404,32.38,bias|ma_conv,2026-01-30
8454,-0.12018669778296383,194.0,bias|ma_conv,2026-01-30
00878,0.05259919551457066,23.09,ma_conv,2026-01-30
3490,-0.060330661658674026,24.3,bias|ma_conv,2026-01-30
7791,-0.019081077357580644,71.7,bias|ma_conv,2026-01-30
6449,-0.03815231691273209,171.0,bias|ma_conv,2026-01-30
5523,0.0,30.45,ma_conv,2026-01-30
6432,-0.050787420420276806,34.0,bias|ma_conv,2026-01-30
7740,-0.04170363797692989,155.5,bias|ma_conv,2026-01-30
6465,0.0,35.3,ma_conv,2026-01-30
2755,-0.058464102208026655,113.0,bias|ma_conv,2026-01-30
4564,-0.03793971088854901,16.75,bias|ma_conv,2026-01-30
1465,-0.018976951868146397,12.55,bias|ma_conv,2026-01-30
5245,0.3237976041480422,30.85,ma_conv,2026-01-30
2601,-0.00962861072902336,5.63,bias|ma_conv,2026-01-30
9924,-0.07893262473787838,48.1,bias|ma_conv,2026-01-30
4205,0.0,79.0,ma_conv,2026-01-30
3272,0.0007543374402816479,20.0,bias|ma_conv,2026-01-30
6125,0.024037040685646712,73.8,bias|ma_conv,2026-01-30
00673R,-0.09436264978791883,25.44,bias,2026-01-30
3669,0.1157501088599165,36.6,ma_conv,2026-01-30
3646,-0.029670435875132958,25.95,bias|ma_conv,2026-01-30
2413,0.13794338946614115,43.5,ma_conv,2026-01-30
1752,-0.030991414690418616,36.7,bias|ma_conv,2026-01-30
4166,0.037385006850655635,27.0,ma_conv,2026-01-30
2923,-0.015387133737109145,20.15,bias|ma_conv,2026-01-30
4304,-0.006458022851465484,30.0,bias,2026-01-30
2540,-0.021139227324794348,48.1,bias|ma_conv,2026-01-30
00959B,-0.0021509889302765003,9.52,bias|ma_conv,2026-01-30
6150,-0.08712436605858767,61.9,bias|ma_conv,2026-01-30
8499,-0.05059768347955162,319.0,bias|ma_conv,2026-01-30
3321,-0.06282906282906292,18.1,bias,2026-01-30
1568,0.05391613046372293,23.75,ma_conv,2026-01-30
00985A,0.11772412502339508,15.06,ma_conv,2026-01-30
2614,-0.06871095968199883,20.9,bias|ma_conv,2026-01-30
2115,-0.004488778054862871,25.15,bias|ma_conv,2026-01-30
2362,-0.06495136491998742,38.3,bias|ma_conv,2026-01-30
3232,-0.050686082329879596,22.9,bias|ma_conv,2026-01-30
6195,0.0,25.25,ma_conv,2026-01-30
7749,-0.08193597560975606,419.0,bias|ma_conv,2026-01-30
3313,0.0,13.8,ma_conv,2026-01-30
8071,0.0010719112643892623,18.3,bias|ma_conv,2026-01-30
3118,0.0,33.3,ma_conv,2026-01-30
1533,-0.0331534309946028,31.5,bias|ma_conv,2026-01-30
00982T,0.0,11.19,ma_conv,2026-01-30
4951,0.015701299676958717,68.0,bias|ma_conv,2026-01-30
2605,0.10266398592611206,30.5,ma_conv,2026-01-30
4503,-0.10110209704576756,40.8,bias|ma_conv,2026-01-30
00697B,-0.007767268425892115,35.8,bias|ma_conv,2026-01-30
00958B,-0.004149377593361007,9.45,bias|ma_conv,2026-01-30
00657K,0.04958095088901075,20.1,ma_conv,2026-01-30
2017,0.03912543153049481,9.32,ma_conv,2026-01-30
3675,0.07578293091082952,163.0,ma_conv,2026-01-30
6264,-0.02722926626480986,7.1,bias|ma_conv,2026-01-30
8059,-0.030263849044405704,20.55,bias|ma_conv,2026-01-30
5211,0.0,26.95,ma_conv,2026-01-30
3624,0.05282566608278777,59.8,ma_conv,2026-01-30
